flowtime, d1, d2, d3
9.6, 0.999999999999985 + 3.0357660829594124e-18im, 0.9999999999999958 + 1.1384122811097797e-18im, 1.0000000000000135 + 9.71445146547012e-17im
9.7, 0.9999999999999859 + 2.6020852139652106e-18im, 0.999999999999994 + 1.1655173354219173e-18im, 1.000000000000015 + 8.673617379884035e-17im
9.8, 0.9999999999999846 + 3.0357660829594124e-18im, 0.999999999999996 + 1.2468324983583301e-18im, 1.0000000000000147 + 8.673617379884035e-17im
9.9, 0.999999999999981 + 2.8189256484623115e-18im, 0.9999999999999947 + 1.2197274440461925e-18im, 1.0000000000000144 + 8.673617379884035e-17im
10.0, 0.9999999999999802 + 3.2526065174565133e-18im, 0.9999999999999957 + 1.2197274440461925e-18im, 1.000000000000013 + 8.326672684688674e-17im
10.1, 0.9999999999999818 + 3.686287386450715e-18im, 0.9999999999999948 + 1.1384122811097797e-18im, 1.0000000000000138 + 8.326672684688674e-17im
10.2, 0.9999999999999805 + 3.903127820947816e-18im, 0.999999999999994 + 1.1655173354219173e-18im, 1.0000000000000127 + 6.245004513516506e-17im
10.3, 0.9999999999999816 + 4.7704895589362195e-18im, 0.9999999999999941 + 1.0028870095490916e-18im, 1.000000000000011 + 6.938893903907228e-17im
10.4, 0.9999999999999841 + 5.637851296924623e-18im, 0.9999999999999953 + 1.0299920638612292e-18im, 1.0000000000000127 + 6.938893903907228e-17im
10.5, 0.9999999999999819 + 4.7704895589362195e-18im, 0.999999999999995 + 1.0028870095490916e-18im, 1.000000000000014 + 9.71445146547012e-17im
10.6, 0.9999999999999826 + 5.421010862427522e-18im, 0.999999999999996 + 1.1655173354219173e-18im, 1.0000000000000122 + 8.326672684688674e-17im
10.7, 0.9999999999999858 + 5.204170427930421e-18im, 0.9999999999999937 + 1.0570971181733668e-18im, 1.000000000000011 + 5.551115123125783e-17im
10.8, 0.9999999999999863 + 5.421010862427522e-18im, 0.9999999999999931 + 1.1384122811097797e-18im, 1.0000000000000124 + 6.245004513516506e-17im
10.9, 0.9999999999999829 + 5.204170427930421e-18im, 0.9999999999999941 + 1.1926223897340549e-18im, 1.0000000000000135 + 8.326672684688674e-17im
11.0, 0.9999999999999771 + 5.204170427930421e-18im, 0.9999999999999931 + 1.1926223897340549e-18im, 1.0000000000000133 + 7.632783294297951e-17im
11.1, 0.9999999999999758 + 4.553649124439119e-18im, 0.9999999999999946 + 1.1384122811097797e-18im, 1.0000000000000138 + 8.326672684688674e-17im
11.2, 0.999999999999977 + 4.336808689942018e-18im, 0.9999999999999942 + 9.215718466126788e-19im, 1.0000000000000142 + 1.0408340855860843e-16im
11.3, 0.99999999999998 + 4.553649124439119e-18im, 0.9999999999999934 + 9.75781955236954e-19im, 1.0000000000000162 + 1.0408340855860843e-16im
