flowtime, d1, d2, d3
25.5, 1.0 + 0.0im, 0.9999999999999727 - 2.6020852139652106e-18im, 1.0 + 0.0im
25.6, 1.0 + 0.0im, 0.9999999999999752 + 2.6020852139652106e-18im, 1.0 + 0.0im
25.7, 1.0 + 0.0im, 0.9999999999999748 - 8.673617379884035e-19im, 1.0 + 0.0im
25.8, 1.0 + 0.0im, 0.9999999999999742 - 3.469446951953614e-18im, 1.0 + 0.0im
25.9, 1.0 + 0.0im, 0.9999999999999742 - 5.204170427930421e-18im, 1.0 + 0.0im
26.0, 1.0 + 0.0im, 0.9999999999999736 - 2.6020852139652106e-18im, 1.0 + 0.0im
26.1, 1.0 + 0.0im, 0.9999999999999711 - 4.336808689942018e-18im, 1.0 + 0.0im
26.2, 1.0 + 0.0im, 0.9999999999999705 - 1.734723475976807e-18im, 1.0 + 0.0im
26.3, 1.0 + 0.0im, 0.9999999999999691 - 8.673617379884035e-19im, 1.0 + 0.0im
26.4, 1.0 + 0.0im, 0.9999999999999678 + 0.0im, 1.0 + 0.0im
26.5, 1.0 + 0.0im, 0.9999999999999645 - 8.673617379884035e-19im, 1.0 + 0.0im
26.6, 1.0 + 0.0im, 0.9999999999999661 - 3.469446951953614e-18im, 1.0 + 0.0im
26.7, 1.0 + 0.0im, 0.9999999999999684 - 2.6020852139652106e-18im, 1.0 + 0.0im
26.8, 1.0 + 0.0im, 0.9999999999999679 - 8.673617379884035e-19im, 1.0 + 0.0im
26.9, 1.0 + 0.0im, 0.9999999999999687 - 8.673617379884035e-19im, 1.0 + 0.0im
27.0, 1.0 + 0.0im, 0.9999999999999681 + 8.673617379884035e-19im, 1.0 + 0.0im
27.1, 1.0 + 0.0im, 0.9999999999999688 + 2.6020852139652106e-18im, 1.0 + 0.0im
27.2, 1.0 + 0.0im, 0.9999999999999719 + 8.673617379884035e-19im, 1.0 + 0.0im
27.3, 1.0 + 0.0im, 0.9999999999999747 + 8.673617379884035e-19im, 1.0 + 0.0im
27.4, 1.0 + 0.0im, 0.9999999999999772 + 0.0im, 1.0 + 0.0im
27.5, 1.0 + 0.0im, 0.9999999999999778 + 8.673617379884035e-19im, 1.0 + 0.0im
27.6, 1.0 + 0.0im, 0.999999999999977 + 2.6020852139652106e-18im, 1.0 + 0.0im
27.7, 1.0 + 0.0im, 0.999999999999975 + 1.734723475976807e-18im, 1.0 + 0.0im
27.8, 1.0 + 0.0im, 0.999999999999976 + 1.734723475976807e-18im, 1.0 + 0.0im
27.9, 1.0 + 0.0im, 0.9999999999999745 - 8.673617379884035e-19im, 1.0 + 0.0im
28.0, 1.0 + 0.0im, 0.9999999999999738 + 8.673617379884035e-19im, 1.0 + 0.0im
28.1, 1.0 + 0.0im, 0.9999999999999714 + 1.734723475976807e-18im, 1.0 + 0.0im
28.2, 1.0 + 0.0im, 0.9999999999999691 + 0.0im, 1.0 + 0.0im
