flowtime, d1, d2, d3
10.4, 1.0000000000000169 - 6.938893903907228e-17im, 1.0000000000000073 - 6.2727600891321345e-15im, 0.9999999999999961 - 2.55351295663786e-15im
10.5, 1.0000000000000158 - 1.8735013540549517e-16im, 1.0000000000000073 - 6.050715484207103e-15im, 0.9999999999999951 - 2.220446049250313e-15im
10.6, 1.0000000000000173 - 8.326672684688674e-17im, 1.000000000000007 - 6.106226635438361e-15im, 0.9999999999999943 - 1.7763568394002505e-15im
10.7, 1.0000000000000162 - 2.7755575615628914e-16im, 1.000000000000006 - 6.439293542825908e-15im, 0.9999999999999947 - 1.8318679906315083e-15im
10.8, 1.0000000000000153 - 8.326672684688674e-17im, 1.0000000000000056 - 6.106226635438361e-15im, 0.999999999999994 - 2.3869795029440866e-15im
10.9, 1.0000000000000158 - 6.106226635438361e-16im, 1.0000000000000058 - 5.88418203051333e-15im, 0.9999999999999932 - 1.8318679906315083e-15im
11.0, 1.0000000000000135 - 1.0547118733938987e-15im, 1.000000000000005 - 5.6066262743570405e-15im, 0.9999999999999932 - 1.887379141862766e-15im
11.1, 1.0000000000000133 - 4.440892098500626e-16im, 1.0000000000000049 - 5.495603971894525e-15im, 0.9999999999999927 - 1.4988010832439613e-15im
11.2, 1.0000000000000138 - 3.3306690738754696e-16im, 1.0000000000000049 - 5.578870698741412e-15im, 0.9999999999999938 - 1.1102230246251565e-15im
11.3, 1.0000000000000133 - 5.551115123125783e-17im, 1.0000000000000064 - 5.773159728050814e-15im, 0.9999999999999938 - 1.27675647831893e-15im
11.4, 1.0000000000000133 + 5.551115123125783e-17im, 1.0000000000000049 - 5.856426454897701e-15im, 0.9999999999999927 - 9.992007221626409e-16im
11.5, 1.0000000000000158 + 5.551115123125783e-17im, 1.0000000000000058 - 5.752343046339092e-15im, 0.9999999999999939 - 9.992007221626409e-16im
11.6, 1.0000000000000153 + 2.220446049250313e-16im, 1.0000000000000073 - 5.648259637780484e-15im, 0.9999999999999911 - 7.216449660063518e-16im
11.7, 1.000000000000016 + 5.551115123125783e-17im, 1.000000000000008 - 5.745404152435185e-15im, 0.9999999999999922 - 1.6653345369377348e-16im
11.8, 1.0000000000000158 + 2.393918396847994e-16im, 1.00000000000001 - 5.218048215738236e-15im, 0.9999999999999907 - 8.326672684688674e-17im
11.9, 1.0000000000000164 + 5.551115123125783e-16im, 1.000000000000012 - 5.190292640122607e-15im, 0.9999999999999932 - 1.6653345369377348e-16im
12.0, 1.0000000000000158 + 4.440892098500626e-16im, 1.000000000000013 - 5.2735593669694936e-15im, 0.9999999999999958 - 5.551115123125783e-17im
12.1, 1.0000000000000158 + 7.494005416219807e-16im, 1.0000000000000115 - 5.3013149425851225e-15im, 0.9999999999999969 + 2.7755575615628914e-16im
12.2, 1.000000000000018 + 2.7755575615628914e-16im, 1.0000000000000118 - 4.9404924595819466e-15im, 0.9999999999999964 + 2.7755575615628914e-16im
12.3, 1.0000000000000173 + 2.220446049250313e-16im, 1.0000000000000118 - 4.9404924595819466e-15im, 0.9999999999999959 - 5.551115123125783e-17im
12.4, 1.0000000000000164 - 2.740863092043355e-16im, 1.0000000000000107 - 4.773959005888173e-15im, 0.9999999999999967 + 3.885780586188048e-16im
12.5, 1.0000000000000155 - 8.326672684688674e-17im, 1.0000000000000104 - 4.926614671774132e-15im, 0.9999999999999946 + 9.992007221626409e-16im
12.6, 1.000000000000015 + 2.0816681711721685e-16im, 1.000000000000011 - 5.2735593669694936e-15im, 0.999999999999996 + 8.881784197001252e-16im
12.7, 1.000000000000013 + 1.6653345369377348e-16im, 1.0000000000000107 - 4.9960036108132044e-15im, 0.9999999999999977 + 8.326672684688674e-16im
12.8, 1.0000000000000144 + 5.898059818321144e-16im, 1.0000000000000107 - 4.926614671774132e-15im, 0.9999999999999964 + 4.996003610813204e-16im
12.9, 1.0000000000000164 + 4.40619762898109e-16im, 1.000000000000009 - 4.9960036108132044e-15im, 0.9999999999999962 + 3.885780586188048e-16im
13.0, 1.0000000000000167 + 6.175615574477433e-16im, 1.0000000000000107 - 5.1209037010835345e-15im, 0.9999999999999956 + 9.992007221626409e-16im
13.1, 1.0000000000000173 + 6.92154666914746e-16im, 1.000000000000011 - 4.6074255521944e-15im, 0.9999999999999969 + 9.43689570931383e-16im
13.2, 1.000000000000016 + 1.0269562977782698e-15im, 1.000000000000009 - 4.6074255521944e-15im, 0.9999999999999969 + 1.2212453270876722e-15im
13.3, 1.0000000000000162 + 9.43689570931383e-16im, 1.0000000000000067 - 4.6074255521944e-15im, 0.999999999999997 + 1.4988010832439613e-15im
13.4, 1.0000000000000167 + 1.3322676295501878e-15im, 1.0000000000000078 - 4.6074255521944e-15im, 0.9999999999999984 + 1.6653345369377348e-15im
13.5, 1.0000000000000167 + 1.3322676295501878e-15im, 1.0000000000000069 - 4.3298697960381105e-15im, 0.9999999999999989 + 1.9984014443252818e-15im
13.6, 1.0000000000000162 + 1.6653345369377348e-15im, 1.0000000000000075 - 4.055132965530284e-15im, 1.0 + 2.4980018054066022e-15im
13.7, 1.0000000000000182 + 1.6653345369377348e-15im, 1.0000000000000089 - 3.913536161803677e-15im, 1.0 + 2.831068712794149e-15im
13.8, 1.00000000000002 + 1.609823385706477e-15im, 1.0000000000000084 - 4.385380947269368e-15im, 1.0000000000000016 + 2.609024107869118e-15im
13.9, 1.0000000000000202 + 1.4988010832439613e-15im, 1.000000000000008 - 4.3298697960381105e-15im, 1.0000000000000004 + 2.4980018054066022e-15im
14.0, 1.0000000000000187 + 1.2212453270876722e-15im, 1.0000000000000078 - 4.440892098500626e-15im, 1.0000000000000013 + 2.609024107869118e-15im
14.1, 1.0000000000000189 + 1.1102230246251565e-15im, 1.0000000000000073 - 4.9404924595819466e-15im, 1.0000000000000024 + 2.942091015256665e-15im
14.2, 1.0000000000000169 + 1.1102230246251565e-15im, 1.0000000000000082 - 5.162537064506978e-15im, 1.0000000000000027 + 3.0531133177191805e-15im
14.3, 1.0000000000000164 + 9.992007221626409e-16im, 1.0000000000000069 - 5.370703881624195e-15im, 1.000000000000001 + 2.4980018054066022e-15im
14.4, 1.000000000000018 + 1.1657341758564144e-15im, 1.0000000000000095 - 5.405398351143731e-15im, 1.0000000000000024 + 2.7200464103316335e-15im
14.5, 1.0000000000000195 + 1.0547118733938987e-15im, 1.0000000000000109 - 5.35682609381638e-15im, 1.0000000000000013 + 2.1649348980190553e-15im
14.6, 1.000000000000021 + 1.304512053934559e-15im, 1.000000000000012 - 5.717648576819556e-15im, 1.0000000000000018 + 2.831068712794149e-15im
14.7, 1.0000000000000215 + 1.3877787807814457e-15im, 1.0000000000000135 - 5.440092820663267e-15im, 1.000000000000003 + 2.7755575615628914e-15im
14.8, 1.0000000000000242 + 1.2212453270876722e-15im, 1.0000000000000124 - 5.523359547510154e-15im, 1.0000000000000033 + 3.1086244689504383e-15im
14.9, 1.0000000000000258 + 7.216449660063518e-16im, 1.0000000000000124 - 5.6066262743570405e-15im, 1.0000000000000022 + 3.164135620181696e-15im
15.0, 1.0000000000000233 + 8.326672684688674e-16im, 1.0000000000000122 - 5.717648576819556e-15im, 1.000000000000002 + 2.831068712794149e-15im
15.1, 1.0000000000000244 + 1.27675647831893e-15im, 1.0000000000000127 - 5.9674487573602164e-15im, 1.0000000000000016 + 2.7755575615628914e-15im
15.2, 1.0000000000000235 + 8.326672684688674e-16im, 1.000000000000012 - 5.495603971894525e-15im, 1.0000000000000004 + 2.7755575615628914e-15im
15.3, 1.0000000000000235 + 8.326672684688674e-16im, 1.0000000000000107 - 5.384581669432009e-15im, 1.0000000000000004 + 2.7200464103316335e-15im
15.4, 1.0000000000000229 + 8.326672684688674e-16im, 1.0000000000000109 - 5.620504062164855e-15im, 1.0000000000000022 + 2.9976021664879227e-15im
15.5, 1.0000000000000238 + 1.0547118733938987e-15im, 1.0000000000000095 - 5.800915303666443e-15im, 1.0000000000000024 + 2.4424906541753444e-15im
15.6, 1.0000000000000249 + 1.8318679906315083e-15im, 1.00000000000001 - 5.828670879282072e-15im, 1.0000000000000016 + 1.942890293094024e-15im
15.7, 1.0000000000000242 + 2.1094237467877974e-15im, 1.000000000000011 - 5.88418203051333e-15im, 1.0000000000000033 + 2.1649348980190553e-15im
15.8, 1.0000000000000242 + 1.6653345369377348e-15im, 1.000000000000012 - 5.717648576819556e-15im, 1.0000000000000047 + 2.3869795029440866e-15im
