flowtime, d1, d2, d3
7.6, 0.9999999999999885 - 3.0357660829594124e-18im, 0.9999999999999997 - 1.0408340855860843e-17im, 0.9999999999999695 - 4.87890977618477e-18im
7.7, 0.9999999999999892 - 3.903127820947816e-18im, 0.999999999999998 - 8.673617379884035e-18im, 0.9999999999999668 - 4.87890977618477e-18im
7.8, 0.9999999999999889 - 3.2526065174565133e-18im, 0.999999999999999 - 8.673617379884035e-18im, 0.999999999999969 - 4.662069341687669e-18im
7.9, 0.9999999999999882 - 2.6020852139652106e-18im, 1.000000000000003 - 9.540979117872439e-18im, 0.9999999999999706 - 4.445228907190568e-18im
8.0, 0.9999999999999912 - 2.168404344971009e-18im, 1.000000000000003 - 9.540979117872439e-18im, 0.9999999999999711 - 4.336808689942018e-18im
8.1, 0.9999999999999929 - 3.0357660829594124e-18im, 1.0000000000000029 - 6.938893903907228e-18im, 0.999999999999971 - 4.0115480381963664e-18im
8.2, 0.9999999999999947 - 3.686287386450715e-18im, 1.0000000000000038 - 6.071532165918825e-18im, 0.9999999999999711 - 4.119968255444917e-18im
8.3, 0.9999999999999962 - 3.2526065174565133e-18im, 1.000000000000004 - 4.336808689942018e-18im, 0.9999999999999682 - 4.0115480381963664e-18im
8.4, 0.9999999999999992 - 2.6020852139652106e-18im, 1.0000000000000038 - 4.336808689942018e-18im, 0.9999999999999653 - 4.445228907190568e-18im
8.5, 1.0000000000000018 - 1.951563910473908e-18im, 1.0000000000000062 - 5.204170427930421e-18im, 0.9999999999999656 - 4.662069341687669e-18im
8.6, 1.000000000000005 - 1.5178830414797062e-18im, 1.0000000000000044 - 1.0408340855860843e-17im, 0.9999999999999677 - 4.7704895589362195e-18im
8.7, 1.0000000000000067 - 3.0357660829594124e-18im, 1.000000000000004 - 1.1275702593849246e-17im, 0.9999999999999692 - 4.336808689942018e-18im
8.8, 1.000000000000008 - 3.2526065174565133e-18im, 1.0000000000000029 - 1.1275702593849246e-17im, 0.9999999999999709 - 4.119968255444917e-18im
8.9, 1.0000000000000064 - 3.686287386450715e-18im, 1.0000000000000013 - 1.214306433183765e-17im, 0.9999999999999735 - 4.119968255444917e-18im
9.0, 1.0000000000000062 - 3.686287386450715e-18im, 1.000000000000002 - 1.1275702593849246e-17im, 0.9999999999999754 - 4.553649124439119e-18im
9.1, 1.0000000000000047 - 4.119968255444917e-18im, 1.000000000000001 - 9.540979117872439e-18im, 0.9999999999999758 - 4.445228907190568e-18im
9.2, 1.0000000000000073 - 2.8189256484623115e-18im, 1.0000000000000018 - 1.0408340855860843e-17im, 0.9999999999999775 - 4.119968255444917e-18im
9.3, 1.0000000000000087 - 3.0357660829594124e-18im, 1.0000000000000004 - 1.214306433183765e-17im, 0.9999999999999782 - 3.577867169202165e-18im
9.4, 1.0000000000000087 - 2.3852447794681098e-18im, 0.9999999999999997 - 1.3010426069826053e-17im, 0.9999999999999798 - 3.3610267347050637e-18im
9.5, 1.000000000000012 - 2.168404344971009e-18im, 1.0000000000000004 - 1.214306433183765e-17im, 0.9999999999999805 - 3.469446951953614e-18im
9.6, 1.000000000000014 - 1.734723475976807e-18im, 0.9999999999999991 - 1.3010426069826053e-17im, 0.9999999999999809 - 2.927345865710862e-18im
9.7, 1.0000000000000155 - 8.673617379884035e-19im, 1.0 - 1.1709383462843448e-17im, 0.9999999999999857 - 3.144186300207963e-18im
9.8, 1.000000000000013 - 1.734723475976807e-18im, 0.9999999999999981 - 1.214306433183765e-17im, 0.9999999999999883 - 2.8189256484623115e-18im
9.9, 1.000000000000012 - 6.505213034913027e-19im, 0.9999999999999973 - 1.214306433183765e-17im, 0.9999999999999909 - 3.686287386450715e-18im
