flowtime, sM3R1, sM3R2, sM3R3, sM3R4, sM3R5, sM3R6, sM3R7, sM3R8, sM3R9, sM3R10, sM3R11, sM3R12, sM3R13, sM3R14, sM3R15
3.1, 0.9123771287532987, 0.49856485250681976, 0.5419679810798425, 0.5277520378225571, 0.6752126789032061, 0.5859371355637295, 0.5565056098100584, 0.5132664146685896, 0.5069014461151243, 0.4663345489914674, 0.5667804031397308, 0.5720257130276009, 0.5734753624433753, 0.6222189270883406, 0.5996475276206413
3.2, 0.8695478933157922, 0.47373297792256025, 0.5201212562959845, 0.5103123803333799, 0.6521095811422201, 0.5624755744428194, 0.5319814002319936, 0.4898253099169104, 0.488652215889773, 0.451493910730116, 0.5443509600349334, 0.5538477414779469, 0.5510765087879869, 0.5910259023434348, 0.5701493900200207
3.3, 0.826040229683486, 0.450536460109319, 0.49954756394002925, 0.4942304601794427, 0.6299354283257386, 0.5401774986975652, 0.508720704105175, 0.4683494098443414, 0.47152326092811087, 0.43786775675346273, 0.523592327958302, 0.5367082727643068, 0.5301766620326126, 0.5618235006411876, 0.542572338498797
3.4, 0.7824555855079462, 0.42894048790492606, 0.4802127418225193, 0.4793709713069295, 0.6086544271864535, 0.5190031843732164, 0.4867774159356803, 0.44866980974502463, 0.4554631775984153, 0.42529988323300083, 0.5043514576209661, 0.5206004011820939, 0.5106555950449924, 0.5345668551554478, 0.5168487724806345
3.5, 0.7394044687506578, 0.4088880719224923, 0.4620881108084805, 0.46558587309296756, 0.5882297981381799, 0.4989408273054097, 0.4661587129477351, 0.43059456913711175, 0.4404128385337718, 0.41365309961333946, 0.4865015258308362, 0.5055029323859856, 0.4923615037496835, 0.5091788808631317, 0.4928696451314758
3.6, 0.6974601779198429, 0.39030282012533896, 0.4451398436264998, 0.4527289126934168, 0.568625767086823, 0.47999480152184826, 0.44683299344249733, 0.41392159817214214, 0.42630484117412903, 0.40280888773703477, 0.46993177694892935, 0.49138163460148643, 0.47512979232295893, 0.48556170533284265, 0.47050037674311296
3.7, 0.6571234359763357, 0.3730951744325041, 0.42931924001235067, 0.4406646662221036, 0.5498081313790825, 0.46217022608141417, 0.4287436031678578, 0.39845418694130796, 0.41306574281298153, 0.39266546109450795, 0.4545341888408543, 0.4781903533471666, 0.4588013560255845, 0.4636053227756631, 0.44959524324907246
3.8, 0.6188002154359893, 0.35716942695222686, 0.4145595172624723, 0.42927329580460194, 0.5317437587347296, 0.4454584462457614, 0.41182237633087254, 0.38401125707668526, 0.4006204214158092, 0.38313536736712805, 0.44019782500294896, 0.46587201590859106, 0.44323651672293773, 0.4431940930588333, 0.4300099975197484
3.9, 0.5827920183083564, 0.3424295250495176, 0.400778742865016, 0.41845248894461035, 0.5143996854395652, 0.42982665171968143, 0.39599935528092367, 0.3704295125610702, 0.38889745703254497, 0.3741432918921688, 0.42681176838061446, 0.4543600794923814, 0.4283249898682098, 0.42421179711277224, 0.41161232332243974
4.0, 0.5492960906812987, 0.32878278248831044, 0.3878854527367245, 0.4081176825820438, 0.49774258183783676, 0.41521331885111284, 0.38120784558983345, 0.3575601340742654, 0.3778342090451837, 0.36562431919372285, 0.41427205111357707, 0.4435809068198282, 0.4139923468583618, 0.4065455598698308, 0.3942893927612341
4.1, 0.5184125552984618, 0.3161415450413475, 0.37578425533134796, 0.39820123368133575, 0.48173930201602005, 0.401529643904735, 0.36738567338323225, 0.3452648156153866, 0.3673801769489098, 0.35752264818433277, 0.4024878567875789, 0.43345696822765295, 0.40020171281558725, 0.3900885459975002, 0.3779518381064382
4.2, 0.4901558284319624, 0.30442341731003203, 0.364380609318562, 0.38865085436767727, 0.46635911741635755, 0.38866638223229827, 0.35447409303319416, 0.3334162116253626, 0.3574974631682339, 0.34979062737314026, 0.3913846318118391, 0.42391016527630976, 0.3869486853888321, 0.37474122191702286, 0.3625339190596442
4.3, 0.46446839084679675, 0.29355083267613075, 0.35358504276041175, 0.3794274240553957, 0.45157801018666666, 0.37650595378928914, 0.34241573360976957, 0.3219071507252963, 0.34815797787829306, 0.3423879493330529, 0.38090393653567167, 0.414864420470801, 0.37424920723633337, 0.3604111831372901, 0.34799034459416406
4.4, 0.4412355909412487, 0.2834506114264873, 0.34331718395631416, 0.3705022485887114, 0.4373847562535991, 0.36494001509445506, 0.3311526439040972, 0.3106695196826034, 0.33933834072212626, 0.3352808785971097, 0.3710009599233868, 0.4062470409347836, 0.36212367683376206, 0.3470118807245439, 0.3342908129984575
4.5, 0.4203005220098517, 0.2740538413318749, 0.33350956468184684, 0.36185394716931624, 0.42378710915574475, 0.3538905435272, 0.32062507472798535, 0.2996952248079661, 0.3310145308751552, 0.32844144613234033, 0.3616408437807209, 0.3979889264173869, 0.3505830443488882, 0.3344608211356062, 0.3214136523012031
4.6, 0.4014781904699867, 0.26529610052994396, 0.3241106057050542, 0.35346532415092824, 0.4108145823640849, 0.34332717895214737, 0.3107712218978199, 0.28904209230332056, 0.3231583758242349, 0.3218466001366193, 0.35279479078347376, 0.3900241043759382, 0.33962154230787484, 0.32267785465369453, 0.3093398903682801
4.7, 0.38456830351596066, 0.2571178503235617, 0.31508579189651664, 0.3453206880374694, 0.39851381214945925, 0.33326946232551125, 0.3015278273026738, 0.2788107455162965, 0.3157368561149521, 0.31547734380588976, 0.34443665943050317, 0.38228919167588027, 0.32921685651413973, 0.31158404676167345, 0.29804871210257494
4.8, 0.36936614823189734, 0.24946478587378518, 0.3064161387971389, 0.33740402372059236, 0.3869352403380085, 0.32376755806327645, 0.29283135326639403, 0.2691008552290446, 0.30871376232653575, 0.3093179119258905, 0.3365404734539612, 0.3747232571841769, 0.31933512616672427, 0.3011014428691303, 0.28751472771623554
4.9, 0.3556712384833388, 0.24228799744822177, 0.2980938699462932, 0.3296982274545367, 0.376115321492502, 0.3148696954645387, 0.28461940832414345, 0.2599746354117663, 0.3020524095234896, 0.30335504063900276, 0.32907900628172304, 0.36726832379206525, 0.3099372430544375, 0.2911538669361996, 0.2777069721130298
5.0, 0.3432936441687574, 0.23554389222256214, 0.2901164639894416, 0.32218537854217527, 0.3660623032063065, 0.30659522267508216, 0.2768321657334193, 0.2514468045083111, 0.2957181618748547, 0.29757737223120534, 0.32202336161992173, 0.3598705135714267, 0.3009840301093263, 0.2816687607779401, 0.26858922425390935
5.1, 0.33205813898934977, 0.22919390516119342, 0.28248104743344044, 0.31484784003016714, 0.35675178851586176, 0.29892629834403733, 0.2694136189567205, 0.2434961721572414, 0.2896800766739804, 0.29197501497603945, 0.31534329898898256, 0.3524816620870105, 0.29243945737557453, 0.2725799400996899, 0.2601211221422261
5.2, 0.32180646462449997, 0.22320406794358666, 0.2751808231499175, 0.307669882430025, 0.34813222559664375, 0.29181610064548164, 0.26231261217601687, 0.23608311218601782, 0.2839115547676461, 0.2865392538188324, 0.3090079802267698, 0.3450611211993521, 0.28427208806606735, 0.2638309463027505, 0.25225960748368387
5.3, 0.31239809297045085, 0.21754451105847253, 0.26820405321440155, 0.3006394873369025, 0.3401356253084646, 0.2852030148107608, 0.2554836428679756, 0.22916271504747612, 0.27839022832832483, 0.2812623873474831, 0.3029868373133015, 0.3375774350978871, 0.27645530264926016, 0.2553783638149397, 0.2449603754483581
5.4, 0.30370988122459225, 0.21218895931556603, 0.26153495569238355, 0.29374998011421394, 0.33268825917614253, 0.27902242276368705, 0.24888745285429284, 0.22269173109834245, 0.27309741535063137, 0.27613765413059727, 0.2972503482195799, 0.33000961539936857, 0.2689668063687386, 0.2471941342041659, 0.23817915043640986
5.5, 0.29563497915664555, 0.2071142584411634, 0.2551554098778727, 0.28700115238661533, 0.3257184192443643, 0.2732134400955972, 0.24249141341485883, 0.21663118497696743, 0.26801741974673754, 0.2711592079966451, 0.2917706103599674, 0.3223478489852409, 0.261787770047585, 0.2392658073097617, 0.23187271601527418
5.6, 0.2880812883128073, 0.20229994942788773, 0.24904658054437942, 0.28039958318093106, 0.31916077547501653, 0.2677215401468238, 0.2362696859687471, 0.21094677280144297, 0.2631368542541911, 0.2663221054633148, 0.2865216868427398, 0.31459359740225135, 0.25490183102871816, 0.23159414982413898, 0.22599968898801104
5.7, 0.2809697078165787, 0.19772789254791723, 0.2431900500848199, 0.27395798159275886, 0.31295813279161416, 0.26249885208646234, 0.23020312160279138, 0.20560835632057714, 0.2584440700902644, 0.26162227647741054, 0.2814797551394539, 0.3067591045141714, 0.24829411748060812, 0.22418856945884325, 0.2205210559029777
5.8, 0.27423234136035607, 0.1933819353534014, 0.23756843371171202, 0.26769356634788016, 0.3070616159880779, 0.25750347558918985, 0.22427886589713728, 0.2005891982776357, 0.2539287148760682, 0.2570564594017446, 0.2766231126795001, 0.2988662699301781, 0.24195042576913645, 0.21706181965504606, 0.2154005009833184
5.9, 0.2678107887496683, 0.18924761722692912, 0.23216563311874022, 0.2616257352882574, 0.30143007057975996, 0.2526985298721892, 0.2184896658298246, 0.19586521513643237, 0.24958140838088858, 0.25262209130886865, 0.2719320978315468, 0.2909447461649149, 0.235856643206757, 0.21022566346098717, 0.21060455843775555
6.0, 0.26165460307064, 0.18531190480472878, 0.22696690423856422, 0.2557734775616363, 0.29602915854614165, 0.2480512313649513, 0.2128329251399762, 0.19141435109607854, 0.24539351433042794, 0.24831715444335337, 0.26738897667838224, 0.28302917066224653, 0.22999845465975066, 0.2036884362834973, 0.20610262413989203
6.1, 0.2557199601709099, 0.1815629556159033, 0.22195885967153223, 0.2501530490274278, 0.2908303988984071, 0.2435320803497213, 0.2073096041953961, 0.1872161003678725, 0.24135698560590213, 0.24413998866987185, 0.2629778323036154, 0.27515577130059926, 0.2243613113486378, 0.1974543885866652, 0.201866862382271
6.2, 0.24996855989307834, 0.1779899099162559, 0.2171294584001366, 0.24477632568516683, 0.2858102670677432, 0.23911415201607109, 0.20192308909590467, 0.18325117030534627, 0.23746426275638366, 0.24008908692970005, 0.25868447774473285, 0.26735901991084404, 0.21893059279187185, 0.19152406029282643, 0.19787204213236928
6.3, 0.244366758035827, 0.174582712092184, 0.21246798561288355, 0.2396500185265858, 0.2809493956882476, 0.23477246790868195, 0.1966781509737725, 0.17950126338578154, 0.2337082087480072, 0.2361628949230787, 0.25449639849318995, 0.25966916665164125, 0.2136918712583572, 0.1858949421421213, 0.19409533359101322
6.4, 0.2388849139795786, 0.1713319630140951, 0.2079650030563799, 0.23477568498883553, 0.27623188448194563, 0.23048343789338335, 0.19158008387142778, 0.1759489515083109, 0.23008206563897146, 0.23235963635583287, 0.25040271701436745, 0.25211115040668325, 0.20863119286768142, 0.18056202019856346, 0.19051609032819375
6.5, 0.23349693044768163, 0.16822880364142523, 0.20361225220731236, 0.23015030659009586, 0.27164471128126105, 0.22622440030392002, 0.1866340629778905, 0.17257761688229836, 0.22657942171049583, 0.22867718095686915, 0.24639416173307538, 0.2447047648038728, 0.20373531161762215, 0.17551812471712633, 0.18711563581937507
6.6, 0.2281799575464166, 0.16526482854505037, 0.19940250914958568, 0.22576715614217976, 0.2671772309461857, 0.22197334789443948, 0.18184472080811775, 0.16937143725732667, 0.22319418078880002, 0.22511296511993212, 0.24246301777312998, 0.23746550990054832, 0.19899184053237537, 0.1707541643185385, 0.18387706685836044
6.7, 0.22291423134552832, 0.16243202634305548, 0.19532940944594926, 0.2216167246831961, 0.26282074965335067, 0.21770900550938052, 0.17721590747803498, 0.16631539775477713, 0.2199205289814561, 0.22166396640696515, 0.2386030375786504, 0.23040551887757402, 0.19438930907386537, 0.16625934657338173, 0.18078508083312872
6.8, 0.21768301637781173, 0.15972274273951073, 0.19138727320055807, 0.21768756447809617, 0.25856816582188874, 0.2134114990398574, 0.17275058516174435, 0.16339531610169952, 0.21675289744125403, 0.21832672542420556, 0.23480929659112315, 0.22353421197536763, 0.18991713392623719, 0.16202144442521615, 0.17782582957130377
