flowtime, w1, w2, w3, w4, w5
66.4, -4.9916195383374015e-25, 3.986404319690469e-11, -1.8744669914265917, 3.9864043196908024e-11, -4.919185297035027e-25
66.5, -4.809920085578902e-25, 3.8735217619732715e-11, -1.8744591201079832, 3.873521761973585e-11, -4.770633717414901e-25
66.6, -4.420739500954276e-25, 3.763839570901331e-11, -1.87445104594528, 3.7638395709016805e-11, -4.380839283287714e-25
66.7, -4.426775687729474e-25, 3.6572668663666985e-11, -1.8744427633468337, 3.657266866366968e-11, -4.32027279903488e-25
66.8, -4.286920309395651e-25, 3.5537153544214855e-11, -1.8744342665719416, 3.553715354421771e-11, -4.214895301094984e-25
66.9, -4.0692083524868175e-25, 3.453099253479103e-11, -1.8744255497267859, 3.453099253479393e-11, -4.025522729554453e-25
67.0, -4.1112570434123486e-25, 3.3553352226288517e-11, -1.874416606760548, 3.3553352226291425e-11, -4.005163387719463e-25
67.1, -4.11401936617388e-25, 3.260342292003827e-11, -1.8744074314610526, 3.260342292004123e-11, -4.0398458846142447e-25
67.2, -3.9894079171536926e-25, 3.168041795143432e-11, -1.8743980174506687, 3.1680417951437367e-11, -3.906845159059036e-25
67.3, -3.727703412561213e-25, 3.078357303289954e-11, -1.8743883581818916, 3.0783573032902353e-11, -3.655576096010119e-25
67.4, -3.7576797299363483e-25, 2.991214561567748e-11, -1.8743784469328961, 2.9912145615680185e-11, -3.6958855466783898e-25
67.5, -3.6877008866442233e-25, 2.9065414269881894e-11, -1.87436827680282, 2.9065414269884262e-11, -3.6463683534716813e-25
67.6, -3.566056376886421e-25, 2.824267808228813e-11, -1.8743578407072459, 2.8242678082290737e-11, -3.5139814774190354e-25
67.7, -3.5973627015171084e-25, 2.7443256071361056e-11, -1.8743471313732436, 2.7443256071363233e-11, -3.542627787538619e-25
67.8, -3.5303507974873687e-25, 2.6666486619003726e-11, -1.8743361413344464, 2.66664866190063e-11, -3.469835467359749e-25
67.9, -3.346707487970754e-25, 2.5911726918580027e-11, -1.8743248629260099, 2.5911726918582463e-11, -3.3015895495324103e-25
68.0, -3.220663723444587e-25, 2.517835243871016e-11, -1.8743132882793505, 2.5178352438712294e-11, -3.1553399055468945e-25
68.1, -3.0965126615513217e-25, 2.4465756402403726e-11, -1.8743014093168524, 2.4465756402405742e-11, -3.022850721243821e-25
68.2, -3.12812591093329e-25, 2.377334928109038e-11, -1.8742892177463601, 2.3773349281092393e-11, -3.0758463949650505e-25
68.3, -3.0326723132848215e-25, 2.3100558303116166e-11, -1.8742767050555786, 2.310055830311824e-11, -2.9785000946836807e-25
68.4, -2.924992879710316e-25, 2.2446826976283883e-11, -1.8742638625064028, 2.2446826976285754e-11, -2.8505124733993993e-25
68.5, -2.8915892359458735e-25, 2.1811614624047935e-11, -1.8742506811288333, 2.1811614624050284e-11, -2.8474432258865867e-25
68.6, -2.8485686166412846e-25, 2.1194395934962838e-11, -1.874237151715127, 2.1194395934964926e-11, -2.8297438985627013e-25
68.7, -2.7081505429301126e-25, 2.059466052500647e-11, -1.874223264813445, 2.0594660525008415e-11, -2.670040719646024e-25
68.8, -2.6099857766453263e-25, 2.001191251240525e-11, -1.8742090107216511, 2.0011912512406933e-11, -2.585329488292399e-25
68.9, -2.5642539887044197e-25, 1.9445670104614055e-11, -1.874194379480624, 1.944567010461548e-11, -2.5114117773588313e-25
69.0, -2.539546546226279e-25, 1.889546519708959e-11, -1.8741793608677861, 1.8895465197091184e-11, -2.4707442478140654e-25
69.1, -2.3715052448997944e-25, 1.836084298352721e-11, -1.8741639443900295, 1.836084298352864e-11, -2.318918804180274e-25
69.2, -2.427007470756487e-25, 1.784136157722123e-11, -1.8741481192769103, 1.7841361577222807e-11, -2.427160933132128e-25
