flowtime, d1, d2, d3
13.7, 0.9999999999999837 + 1.9949319973733282e-17im, 0.9999999999999993 + 5.898059818321144e-17im, 1.0000000000000102 - 1.4988010832439613e-15im
13.8, 0.999999999999984 + 2.2551405187698492e-17im, 0.9999999999999998 + 4.5102810375396984e-17im, 1.0000000000000127 - 1.8318679906315083e-15im
13.9, 0.9999999999999853 + 2.0816681711721685e-17im, 0.9999999999999984 + 4.5102810375396984e-17im, 1.000000000000011 - 1.887379141862766e-15im
14.0, 0.9999999999999842 + 2.2551405187698492e-17im, 0.9999999999999973 + 4.5102810375396984e-17im, 1.000000000000011 - 1.7763568394002505e-15im
14.1, 0.999999999999986 + 2.3418766925686896e-17im, 0.9999999999999953 + 5.551115123125783e-17im, 1.0000000000000118 - 1.6653345369377348e-15im
14.2, 0.9999999999999877 + 2.3418766925686896e-17im, 0.999999999999995 + 4.85722573273506e-17im, 1.000000000000012 - 1.5543122344752192e-15im
14.3, 0.9999999999999889 + 2.3418766925686896e-17im, 0.999999999999994 + 6.591949208711867e-17im, 1.0000000000000115 - 1.4432899320127035e-15im
14.4, 0.9999999999999875 + 1.9081958235744878e-17im, 0.9999999999999923 + 5.204170427930421e-17im, 1.0000000000000127 - 1.609823385706477e-15im
14.5, 0.9999999999999859 + 1.9081958235744878e-17im, 0.9999999999999921 + 4.85722573273506e-17im, 1.0000000000000142 - 1.609823385706477e-15im
14.6, 0.9999999999999841 + 2.0816681711721685e-17im, 0.9999999999999917 + 4.85722573273506e-17im, 1.0000000000000142 - 1.7208456881689926e-15im
14.7, 0.9999999999999862 + 2.688821387764051e-17im, 0.9999999999999912 + 4.85722573273506e-17im, 1.0000000000000142 - 1.6653345369377348e-15im
14.8, 0.9999999999999878 + 2.6020852139652106e-17im, 0.9999999999999913 + 4.5102810375396984e-17im, 1.000000000000015 - 1.4988010832439613e-15im
14.9, 0.9999999999999885 + 2.42861286636753e-17im, 0.9999999999999901 + 5.551115123125783e-17im, 1.0000000000000153 - 1.2212453270876722e-15im
15.0, 0.9999999999999916 + 2.7755575615628914e-17im, 0.9999999999999902 + 5.551115123125783e-17im, 1.0000000000000144 - 1.27675647831893e-15im
15.1, 0.9999999999999927 + 2.2551405187698492e-17im, 0.9999999999999892 + 4.5102810375396984e-17im, 1.0000000000000147 - 1.27675647831893e-15im
15.2, 0.9999999999999909 + 2.42861286636753e-17im, 0.99999999999999 + 4.163336342344337e-17im, 1.0000000000000149 - 1.3877787807814457e-15im
15.3, 0.9999999999999898 + 2.5153490401663703e-17im, 0.9999999999999885 + 4.5102810375396984e-17im, 1.0000000000000149 - 1.3322676295501878e-15im
15.4, 0.9999999999999877 + 2.0816681711721685e-17im, 0.999999999999989 + 4.163336342344337e-17im, 1.0000000000000169 - 1.3322676295501878e-15im
15.5, 0.9999999999999862 + 2.42861286636753e-17im, 0.9999999999999888 + 3.469446951953614e-17im, 1.000000000000018 - 1.2212453270876722e-15im
15.6, 0.9999999999999875 + 2.862293735361732e-17im, 0.9999999999999903 + 4.163336342344337e-17im, 1.0000000000000204 - 1.4988010832439613e-15im
15.7, 0.9999999999999893 + 2.6020852139652106e-17im, 0.9999999999999919 + 3.8163916471489756e-17im, 1.0000000000000204 - 1.1657341758564144e-15im
15.8, 0.9999999999999896 + 2.42861286636753e-17im, 0.9999999999999915 + 2.7755575615628914e-17im, 1.0000000000000193 - 1.1657341758564144e-15im
