flowtime, wM3R1, wM3R2, wM3R3, wM3R4, wM3R5, wM3R6, wM3R7, wM3R8, wM3R9, wM3R10, wM3R11, wM3R12, wM3R13, wM3R14, wM3R15
15.0, -3.203118756392632e-5, -3.1618579284344953e-7, 2.3676021584688364e-5, -1.8759506993533217e-6, 0.00027691667826402946, -2.9132810934326768e-5, -8.98562174541769e-6, -1.3945024012119248e-6, 7.19538315709908e-5, 5.318496939715406e-6, -3.9481244205549375e-5, 2.1618772901210584e-8, -3.4338229927586216e-5, -1.7681279550253715e-6, -1.1396326671115155e-5
15.1, -3.0792438756323936e-5, -2.8597772434996423e-7, 2.2364465293033488e-5, -1.809812890023061e-6, 0.0002673338150442722, -2.794493343415517e-5, -7.961401131345946e-6, -1.0895784360449514e-6, 7.251806210121546e-5, 5.098039885273079e-6, -3.8825486062430134e-5, 1.9277253089434575e-8, -3.4797689736653025e-5, -1.5742416766356388e-6, -1.0925536349905161e-5
15.2, -2.958789267811936e-5, -2.582227402705028e-7, 2.115546558513224e-5, -1.7461887932141454e-6, 0.00025787249374011967, -2.681023985748486e-5, -7.056935459991391e-6, -8.310930145700415e-7, 7.306704876366416e-5, 4.885026289980584e-6, -3.818652086015912e-5, 1.709634258793633e-8, -3.521742813396056e-5, -1.39389872075087e-6, -1.0470435112320934e-5
15.3, -2.84171894669878e-5, -2.3280656867878406e-7, 2.0049822557987883e-5, -1.6850223376925896e-6, 0.0002485808789659572, -2.572697804122442e-5, -6.267730645122063e-6, -6.144649787533388e-7, 7.359788349080914e-5, 4.679248562680474e-6, -3.7558482109639396e-5, 1.507157093838773e-8, -3.5597406978025754e-5, -1.2272444431051198e-6, -1.003094195330597e-5
15.4, -2.7279899055137024e-5, -2.0960270618425094e-7, 1.9047492696298035e-5, -1.6262517648709705e-6, 0.00023949952397393556, -2.4692864907514854e-5, -5.58798561525678e-6, -4.349228609856755e-7, 7.410798241412261e-5, 4.480516756203487e-6, -3.6935672751347894e-5, 1.3198444666072879e-8, -3.593769390883054e-5, -1.0743291837187537e-6, -9.60684722501956e-6
15.5, -2.6175523518411777e-5, -1.884767311905864e-7, 1.8147418684732864e-5, -1.5698108106224121e-6, 0.00023065777676014825, -2.370515862231701e-5, -5.010966620576297e-6, -2.877618161013179e-7, 7.459507205081796e-5, 4.288655276524222e-6, -3.631260271090137e-5, 1.1472279267190407e-8, -3.6238454199430685e-5, -9.351165517185755e-7, -9.197847822219385e-6
15.6, -2.510350109388168e-5, -1.6929015382597235e-7, 1.7347362512275208e-5, -1.5156298835171386e-6, 0.00022207089442741852, -2.2760738683258237e-5, -4.529409791358825e-6, -1.6851753385839057e-7, 7.505717337454372e-5, 4.103499930188381e-6, -3.568402257040765e-5, 9.888032316958193e-9, -3.649993968230364e-5, -8.094907003758067e-7, -8.803576236342813e-6
15.7, -2.4063211365110456e-5, -1.5190367320193066e-7, 1.664376011838533e-5, -1.4636372627753986e-6, 0.00021373851704715937, -2.1856192379429195e-5, -4.135915332502675e-6, -7.307332635737241e-8, 7.549258417125705e-5, 3.924895316850798e-6, -3.504495291293718e-5, 8.44016172635072e-9, -3.6722474682985564e-5, -6.972626606539698e-7, -8.423623808604394e-6
15.8, -2.3053981212514408e-5, -1.361798131329431e-7, 1.6031623237292154e-5, -1.4137603311796814e-6, 0.00020564503724899793, -2.0987906142547336e-5, -3.8233007587985216e-6, 2.2836793072056004e-9, 7.589986009064825e-5, 3.7526925656386634e-6, -3.4390709143060145e-5, 7.122537529726191e-9, -3.690643910732416e-5, -5.981758313621985e-7, -8.057558780811702e-6
15.9, -2.2075091213420366e-5, -1.2198496663459838e-7, 1.5504517656156485e-5, -1.365926849122684e-6, 0.0001977620823302114, -2.0152160201630397e-5, -3.5848890114928773e-6, 6.084322028072672e-8, 7.627779479878809e-5, 3.586747407029186e-6, -3.3716921805929033e-5, 5.928432110523527e-9, -3.7052249061249526e-5, -5.119107485353329e-7, -7.704939871173378e-6
16.0, -2.1125782252480577e-5, -1.091909107567581e-7, 1.5054644293848547e-5, -1.3200662660237558e-6, 0.0001900528549017003, -1.934522458785291e-5, -3.414717937580435e-6, 1.0547792710449155e-7, 7.662539962123726e-5, 3.4269185659618526e-6, -3.30195526120615e-5, 4.850601061888016e-9, -3.7160335621054375e-5, -4.380892761059546e-7, -7.365326132274484e-6
16.1, -2.0205262168272955e-5, -9.767586646920888e-8, 1.4673038992195914e-5, -1.2761110546474159e-6, 0.00018247760265822075, -1.8563453927217132e-5, -3.3076681333860717e-6, 1.386656978028855e-7, 7.694188304033268e-5, 3.2730664571264068e-6, -3.229490651846176e-5, 3.881447281314372e-9, -3.7231122604400004e-5, -3.7627837414859045e-7, -7.038283814434344e-6
16.2, -1.9312712316871504e-5, -8.732518037596383e-8, 1.4349889376173498e-5, -1.2339980426157437e-6, 0.00017499919302611555, -1.780337772503887e-5, -3.2595147396976384e-6, 1.6252166379700432e-7, 7.722663037830317e-5, 3.1250521596394596e-6, -3.1539640316342264e-5, 3.0132405803055133e-9, -3.726500440444106e-5, -3.259936096221985e-7, -6.723390886741255e-6
16.3, -1.844729397849903e-5, -7.80317007354215e-8, 1.4074945630181975e-5, -1.1936697039472338e-6, 0.000167587779524366, -1.7061782197594647e-5, -3.2669144506083235e-6, 1.788348743057387e-7, 7.747918396119081e-5, 2.982736645709591e-6, -3.075076823084308e-5, 2.238351710888359e-9, -3.7262325129724335e-5, -2.86702576993406e-7, -6.420239779582895e-6
16.4, -1.7608154569889923e-5, -6.969591271933895e-8, 1.3837981468128503e-5, -1.1550753621925295e-6, 0.0001602238532810647, -1.6335779395797598e-5, -3.3273416234468855e-6, 1.8910632160842279e-7, 7.769922401982996e-5, 2.8459802362563823e-6, -2.9925665050755974e-5, 1.549458597261687e-9, -3.722336043108101e-5, -2.578283918499279e-7, -6.128438819529713e-6
16.5, -1.679443365313563e-5, -6.222588901671472e-8, 1.3629247376700656e-5, -1.1181722463116758e-6, 0.00015289943571450182, -1.5622859619117523e-5, -3.438987428003876e-6, 1.9458607607999552e-7, 7.788655054469159e-5, 2.7146422556949485e-6, -2.9062067280519965e-5, 9.3969374774167e-10, -3.71483034864469e-5, -2.387534089996053e-7, -5.847612738119032e-6
16.6, -1.600526875210657e-5, -5.553710295823723e-8, 1.343985452990784e-5, -1.0829263316312508e-6, 0.00014561760262523355, -1.4920924055050266e-5, -3.6006342372868095e-6, 1.963081508677308e-7, 7.804106627281821e-5, 2.58858085815944e-6, -2.815807274865145e-5, 4.02720085283611e-10, -3.703725665022417e-5, -2.2882329746272208e-7, -5.577402554952344e-6
16.7, -1.5239801000270097e-5, -4.955214296232151e-8, 1.3262035945864603e-5, -1.0493128920707144e-6, 0.00013839080412460472, -1.4228296155193942e-5, -3.811514774522169e-6, 1.9512232846786102e-7, 7.816276094845315e-5, 2.4676529981208776e-6, -2.7212139024541817e-5, -6.72596419973338e-11, -3.689023025098265e-5, -2.273515782029486e-7, -5.317465064663101e-6
16.8, -1.4497180649246508e-5, -4.4200359611937084e-8, 1.308924951111948e-5, -1.0173166875331857e-6, 0.0001312385255822064, -1.3543712248198953e-5, -4.071162604425526e-6, 1.9172260801715433e-7, 7.825169696470369e-5, 2.3517145196295574e-6, -2.62230808984269e-5, -4.755428458548149e-10, -3.670714993466386e-5, -2.3362469710831594e-7, -5.067472097250461e-6
16.9, -1.3776572465965451e-5, -3.9417470182550224e-8, 1.2916111002920724e-5, -9.869317132212437e-7, 0.0001241847685131303, -1.2866293929700353e-5, -4.379257908227545e-6, 1.8667221809720308e-7, 7.830799646244971e-5, 2.2406203400712705e-6, -2.5190067078002784e-5, -8.269954636595196e-10, -3.6487873790596354e-5, -2.4690766679191814e-7, -4.827109671634419e-6
17.0, -1.3077161038537386e-5, -3.5145139954345447e-8, 1.2738169179159875e-5, -9.581604469626221e-7, 0.00011725569327167049, -1.2195506453310919e-5, -4.735470433324993e-6, 1.8042532224955243e-7, 7.833182993448034e-5, 2.134224706317582e-6, -2.4112616159289246e-5, -1.1261298975083642e-9, -3.6232220249794946e-5, -2.664502681091044e-7, -4.596077122202215e-6
17.1, -1.2398155997493549e-5, -3.1330555088270016e-8, 1.2551555793303527e-5, -9.310125474275182e-7, 0.00011047762158112161, -1.1531108341666859e-5, -5.139300224313697e-6, 1.7334565240968742e-7, 7.832340635764159e-5, 2.0323815033400695e-6, -2.2990591848646787e-5, -1.3771789576482936e-9, -3.594000738673738e-5, -2.91493758070957e-7, -4.3740862465758414e-6
17.2, -1.1738797141350082e-5, -2.7925998125145635e-8, 1.2352560077419623e-5, -9.05502980960904e-7, 0.00010387548123629316, -1.087309758120913e-5, -5.5899162780588845e-6, 1.6572236148875e-7, 7.828296485324422e-5, 1.934944597648862e-6, -2.1824197353390208e-5, -1.5841577809806368e-9, -3.561110375840533e-5, -3.2127798798981446e-7, -4.160860498753095e-6
17.3, -1.1098359434756047e-5, -2.488843416898042e-8, 1.213719132703257e-5, -8.816495873990282e-7, 9.747169713233236e-5, -1.0221659112019615e-5, -6.085993608297129e-6, 1.5778340714936722e-7, 7.82107678558887e-5, 1.8417682002663876e-6, -2.061396882424426e-5, -1.7509101074825318e-9, -3.52454902463514e-5, -3.550487969136211e-7, -3.956134234214381e-6
17.4, -1.0476157825890296e-5, -2.2179113429998445e-8, 1.1900807056325772e-5, -8.594701344694376e-7, 9.128548721280281e-5, -9.577117112180456e-6, -6.625550295991042e-6, 1.4970677673646398e-7, 7.810709575262213e-5, 1.752707236235521e-6, -1.9360767723741145e-5, -1.8811382989791763e-9, -3.4843331503456947e-5, -3.9206551363398803e-7, -3.7596520016121855e-6
17.5, -9.871551809032886e-6, -1.9763193928127552e-8, 1.1637898165334569e-5, -8.38978953805105e-7, 8.53324996993275e-5, -8.939894138495698e-6, -7.205787833716258e-6, 1.4162984715479994e-7, 7.797224293774683e-5, 1.6676177098550716e-6, -1.8065772007305513e-5, -1.978418366972911e-9, -3.440505454076337e-5, -4.3160837815892014e-7, -3.571167868481383e-6
