flowtime, wh1, wh2, wh3
18.2, 4.3423114347873583e-7, 0.9902772824210568, -1.9781748621309272
18.3, 4.2172936456256776e-7, 0.9902599682864303, -1.978094632137706
18.4, 4.09587975950281e-7, 0.9902427781378388, -1.9780153929713602
18.5, 3.9779660678432736e-7, 0.9902257104959672, -1.9779371421016771
18.6, 3.863451829328004e-7, 0.9902087639286284, -1.9778598766001652
18.7, 3.752239185581203e-7, 0.9901919370489503, -1.9777835931562164
18.8, 3.644233079968294e-7, 0.9901752285134819, -1.97770828809256
18.9, 3.5393411779853946e-7, 0.9901586370202418, -1.9776339573812869
19.0, 3.4374737901880515e-7, 0.9901421613076048, -1.9775605966593564
19.1, 3.338543797430319e-7, 0.9901258001520062, -1.9774882012441388
19.2, 3.242466577566404e-7, 0.9901095523667918, -1.977416766148636
19.3, 3.1491599349393e-7, 0.9900934168004489, -1.9773462860964703
19.4, 3.0585440314217717e-7, 0.9900773923354492, -1.9772767555370352
19.5, 2.9705413192656646e-7, 0.9900614778863784, -1.9772081686600234
19.6, 2.885076476191562e-7, 0.9900456723987504, -1.9771405194098155
19.7, 2.802076342182444e-7, 0.9900299748477969, -1.9770738014998943
19.8, 2.7214698577312893e-7, 0.9900143842370983, -1.977008008426471
19.9, 2.64318800426246e-7, 0.9899988995970738, -1.9769431334821599
20.0, 2.5671637459467723e-7, 0.9899835199842486, -1.9768791697695967
20.1, 2.493331973266541e-7, 0.9899682444796021, -1.9768161102140105
20.2, 2.4216294479882246e-7, 0.9899530721880775, -1.9767539475763707
20.3, 2.351994749999662e-7, 0.9899380022367599, -1.9766926744654214
20.4, 2.28436822536096e-7, 0.9899230337745342, -1.976632283350152
20.5, 2.2186919358315857e-7, 0.9899081659706404, -1.9765727665709978
20.6, 2.1549096101302326e-7, 0.989893398014203, -1.9765141163517417
20.7, 2.0929665959732004e-7, 0.9898787291125947, -1.97645632481023
20.8, 2.032809814199819e-7, 0.9898641584914281, -1.9763993839692593
20.9, 1.9743877135680174e-7, 0.9898496853929217, -1.9763432857670173
21.0, 1.9176502270770378e-7, 0.9898353090759637, -1.9762880220667371
21.1, 1.86254872968112e-7, 0.9898210288144181, -1.9762335846667531
21.2, 1.8090359969183345e-7, 0.9898068438971777, -1.9761799653095435
21.3, 1.7570661647549185e-7, 0.9897927536270114, -1.9761271556908706
21.4, 1.7065946907442757e-7, 0.9897787573202773, -1.9760751474682547
21.5, 1.657578316140031e-7, 0.9897648543056542, -1.976023932269467
21.6, 1.6099750291453307e-7, 0.9897510439244991, -1.9759735017002418
21.7, 1.5637440290996318e-7, 0.9897373255293048, -1.9759238473519511
21.8, 1.518845691773943e-7, 0.9897236984837422, -1.9758749608088333
21.9, 1.4752415356252704e-7, 0.9897101621621083, -1.975826833655029
22.0, 1.432894189155618e-7, 0.9896967159484957, -1.9757794574809542
22.1, 1.3917673588175047e-7, 0.9896833592366294, -1.9757328238899154
22.2, 1.351825798224225e-7, 0.9896700914293804, -1.9756869245036894
22.3, 1.313035278032858e-7, 0.989656911938274, -1.9756417509684028
22.4, 1.2753625567480003e-7, 0.9896438201830094, -1.9755972949598113
22.5, 1.2387753522781205e-7, 0.9896308155913675, -1.97555354818831
22.6, 1.2032423144916291e-7, 0.9896178975984252, -1.9755105024035824
22.7, 1.1687329982223971e-7, 0.9896050656465976, -1.9754681493992947
22.8, 1.1352178374678286e-7, 0.9895923191851977, -1.975426481017123
22.9, 1.1026681199131353e-7, 0.9895796576699444, -1.9753854891504465
23.0, 1.0710559625383882e-7, 0.9895670805628759, -1.975345165748298
23.1, 1.0403542876009753e-7, 0.9895545873320749, -1.975305502818543
23.2, 1.0105367995658915e-7, 0.9895421774513857, -1.9752664924309218
23.3, 9.815779624708291e-8, 0.9895298503998584, -1.9752281267202
23.4, 9.534529781896234e-8, 0.9895176056621567, -1.9751903978882261
23.5, 9.26137765064459e-8, 0.9895054427276682, -1.9751532982070017
23.6, 8.996089372954931e-8, 0.9894933610908542, -1.9751168200199674
23.7, 8.738437849801918e-8, 0.9894813602506517, -1.9750809557450788
23.8, 8.488202544057397e-8, 0.9894694397103372, -1.9750456978753224
23.9, 8.245169294157597e-8, 0.9894575989776997, -1.975011038981071
24.0, 8.009130127862083e-8, 0.9894458375644177, -1.9749769717107406
24.1, 7.779883084524842e-8, 0.9894341549863485, -1.9749434887926485
24.2, 7.557232042857897e-8, 0.989422550762865, -1.9749105830352063
24.3, 7.340986550592332e-8, 0.9894110244172203, -1.9748782473282154
24.4, 7.130961662166295e-8, 0.9893995754760915, -1.9748464746431087
24.5, 6.926977779011085e-8, 0.9893882034695911, -1.974815258033589
24.6, 6.728860495513064e-8, 0.9893769079312453, -1.9747845906358026
24.7, 6.536440449364634e-8, 0.989365688397543, -1.9747544656683786
24.8, 6.349553175762987e-8, 0.9893545444083233, -1.974724876432392
24.9, 6.168038965446934e-8, 0.9893434755061632, -1.9746958163115533
25.0, 5.991742727688387e-8, 0.9893324812369011, -1.9746672787714914
25.1, 5.820513857265459e-8, 0.9893215611487679, -1.9746392573593199
25.2, 5.6542061039724086e-8, 0.9893107147930914, -1.9746117457036227
25.3, 5.492677448065048e-8, 0.9892999417236223, -1.9745847375132117
25.4, 5.3357899763480557e-8, 0.9892892414969964, -1.9745582265766621
25.5, 5.183409764769134e-8, 0.9892786136721381, -1.9745322067616518
25.6, 5.035406762818297e-8, 0.9892680578105975, -1.9745066720135085
25.7, 4.891654680787057e-8, 0.9892575734762702, -1.9744816163547785
25.8, 4.7520308821329974e-8, 0.9892471602355173, -1.9744570338838767
25.9, 4.616416276909614e-8, 0.9892368176569168, -1.974432918773527
26.0, 4.48469521999802e-8, 0.9892265453113588, -1.9744092652705947
26.1, 4.3567554105621965e-8, 0.9892163427720384, -1.974386067693625
26.2, 4.23248779595968e-8, 0.9892062096141796, -1.974363320432106
26.3, 4.111786477763631e-8, 0.9891961454153525, -1.9743410179451193
26.4, 3.994548619960667e-8, 0.989186149755151, -1.9743191547595313
26.5, 3.8806743609570866e-8, 0.9891762222151576, -1.9742977254690413
26.6, 3.770066727316003e-8, 0.9891663623791535, -1.974276724731985
26.7, 3.662631549941255e-8, 0.9891565698329607, -1.9742561472705056
26.8, 3.558277383015698e-8, 0.9891468441642363, -1.974235987868574
26.9, 3.4569154254200675e-8, 0.9891371849627174, -1.974216241370408
27.0, 3.35845944350885e-8, 0.9891275918200868, -1.9741969026792099
27.1, 3.26282569784589e-8, 0.9891180643299468, -1.9741779667549724
27.2, 3.169932870102615e-8, 0.9891086020878016, -1.9741594286135715
27.3, 3.079701993452869e-8, 0.9890992046908547, -1.9741412833245964
27.4, 2.992056383912676e-8, 0.9890898717386065, -1.9741235260101548
27.5, 2.9069215752239193e-8, 0.989080602831979, -1.9741061518427858
27.6, 2.8242252533788338e-8, 0.9890713975739133, -1.9740891560444824
27.7, 2.7438971954347564e-8, 0.9890622555691544, -1.9740725338846596
27.8, 2.6658692081512547e-8, 0.9890531764241853, -1.9740562806786586
27.9, 2.5900750697465184e-8, 0.9890441597474037, -1.9740403917865668
28.0, 2.5164504729713062e-8, 0.9890352051487872, -1.9740248626111336
28.1, 2.444932968443129e-8, 0.9890263122402791, -1.9740096885969447
28.2, 2.3754619121639464e-8, 0.9890174806355225, -1.9739948652282933
28.3, 2.3079784128187488e-8, 0.9890087099497016, -1.9739803880284532
28.4, 2.242425280911524e-8, 0.988999999800088, -1.9739662525577513
28.5, 2.1787469794577245e-8, 0.9889913498053654, -1.9739524544124791
28.6, 2.1168895761310416e-8, 0.9889827595861191, -1.973938989223675
28.7, 2.0568006968212248e-8, 0.9889742287645199, -1.9739258526556827
28.8, 1.9984294806503936e-8, 0.9889657569645275, -1.973913040405012
28.9, 1.941726535817339e-8, 0.9889573438117987, -1.9739005481994376
29.0, 1.8866438975066152e-8, 0.9889489889335163, -1.9738883717962323
29.1, 1.8331349859054412e-8, 0.9889406919588365, -1.973876506981885
29.2, 1.7811545668081856e-8, 0.9889324525182903, -1.9738649495707732
29.3, 1.730658712110143e-8, 0.988924270244207, -1.9738536954039256
29.4, 1.681604762092723e-8, 0.9889161447706918, -1.9738427403486758
29.5, 1.6339512890012183e-8, 0.9889080757332473, -1.973832080297335
29.6, 1.587658061223106e-8, 0.9889000627692034, -1.9738217111666823
29.7, 1.5426860082402606e-8, 0.9888921055175859, -1.9738116288971532
29.8, 1.4989971873369145e-8, 0.9888842036189823, -1.973801829452213
29.9, 1.4565547511352176e-8, 0.9888763567155592, -1.9737923088176388
30.0, 1.4153229155861576e-8, 0.9888685644511964, -1.973783063001168
30.1, 1.3752669292452994e-8, 0.988860826471457, -1.9737740880316146
30.2, 1.3363530433267746e-8, 0.9888531424234123, -1.9737653799589192
30.3, 1.2985484828084219e-8, 0.9888455119558305, -1.9737569348532575
30.4, 1.2618214179192402e-8, 0.9888379347192229, -1.9737487488052996
30.5, 1.2261409373944121e-8, 0.9888304103654866, -1.973740817925072
30.6, 1.1914770211467144e-8, 0.98882293854824, -1.9737331383427659
30.7, 1.1578005149206527e-8, 0.9888155189227967, -1.973725706207785
30.8, 1.1250831052684875e-8, 0.9888081511459859, -1.9737185176888083
30.9, 1.0932972948313063e-8, 0.9888008348762631, -1.9737115689739406
31.0, 1.0624163791743152e-8, 0.9887935697737592, -1.9737048562705217
31.1, 1.0324144234124148e-8, 0.9887863555001637, -1.9736983758051931
31.2, 1.0032662402070355e-8, 0.9887791917187044, -1.9736921238239087
31.3, 9.74947368052421e-9, 0.9887720780943624, -1.9736860965921255
31.4, 9.474340503283158e-9, 0.9887650142936024, -1.9736802903949608
31.5, 9.207032147731492e-9, 0.9887579999846035, -1.9736747015372018
31.6, 8.947324538236627e-9, 0.9887510348369599, -1.9736693263440828
31.7, 8.695000052364825e-9, 0.9887441185219668, -1.9736641611608052
31.8, 8.449847335758241e-9, 0.9887372507126295, -1.9736592023535353
31.9, 8.211661120585437e-9, 0.9887304310834203, -1.9736544463093266
32.0, 7.980242048572436e-9, 0.988723659310311, -1.9736498894367362
32.1, 7.755396500311992e-9, 0.9887169350710908, -1.9736455281659464
32.2, 7.536936428490082e-9, 0.9887102580449761, -1.9736413589496422
32.3, 7.32467920027104e-9, 0.9887036279128628, -1.9736373782630812
32.4, 7.1184474362089156e-9, 0.9886970443571752, -1.973633582604645
32.5, 6.918068860062098e-9, 0.9886905070618682, -1.9736299684965692
32.6, 6.723376152878711e-9, 0.9886840157127235, -1.9736265324851714
32.7, 6.534206807667272e-9, 0.9886775699967779, -1.9736232711415251
32.8, 6.350402991542377e-9, 0.9886711696028975, -1.9736201810620355
32.9, 6.171811408900679e-9, 0.9886648142213567, -1.9736172588690823
33.0, 5.998283173434513e-9, 0.9886585035442479, -1.973614501211158
33.1, 5.829673676784847e-9, 0.988652237264931, -1.9736119047640857
33.2, 5.665842467058568e-9, 0.9886460150786052, -1.9736094662310346
33.3, 5.506653130226817e-9, 0.988639836681917, -1.973607182343416
33.4, 5.351973170461716e-9, 0.9886337017731052, -1.9736050498612614
33.5, 5.201673898103745e-9, 0.9886276100519497, -1.9736030655741403
33.6, 5.0556303217840044e-9, 0.9886215612199866, -1.9736012263014644
33.7, 4.913721038344674e-9, 0.9886155549800344, -1.9735995288928505
33.8, 4.775828130956935e-9, 0.9886095910367447, -1.9735979702291646
33.9, 4.641837068102563e-9, 0.9886036690961258, -1.9735965472228378
34.0, 4.5116366067962095e-9, 0.9885977888659164, -1.973595256818403
34.1, 4.385118694714558e-9, 0.9885919500553788, -1.9735940959929446
34.2, 4.262178383310672e-9, 0.9885861523752324, -1.9735930617567656
34.3, 4.1427137334131395e-9, 0.9885803955379077, -1.9735921511538477
34.4, 4.026625730206363e-9, 0.9885746792573175, -1.9735913612624014
34.5, 3.913818198738822e-9, 0.9885690032489995, -1.9735906891949797
34.6, 3.804197722488919e-9, 0.9885633672299698, -1.9735901320993796
34.7, 3.6976735628427388e-9, 0.9885577709187652, -1.9735896871587808
34.8, 3.5941575835508948e-9, 0.9885522140356408, -1.9735893515923078
34.9, 3.49356417296976e-9, 0.9885466963022794, -1.9735891226552016
35.0, 3.3958101740785594e-9, 0.9885412174420063, -1.9735889976394159
35.1, 3.3008148120964905e-9, 0.9885357771795373, -1.9735889738737489
35.2, 3.208499625988755e-9, 0.9885303752413079, -1.9735890487240773
35.3, 3.1187884020033744e-9, 0.9885250113552324, -1.9735892195941749
35.4, 3.031607109526415e-9, 0.9885196852508289, -1.9735894839252168
35.5, 2.946883837069585e-9, 0.9885143966589687, -1.9735898391963476
35.6, 2.8645487322889096e-9, 0.9885091453122699, -1.9735902829251235
35.7, 2.78453394147265e-9, 0.9885039309448566, -1.9735908126671635
35.8, 2.706773552280103e-9, 0.9884987532923041, -1.9735914260168044
35.9, 2.63120353996595e-9, 0.9884936120917488, -1.9735921206067528
36.0, 2.5577617088369647e-9, 0.9884885070819309, -1.9735928941085477
36.1, 2.4863876435113105e-9, 0.9884834380030398, -1.9735937442322362
36.2, 2.4170226572504614e-9, 0.9884784045967914, -1.9735946687269197
